127.0.0.1 - - [15/Apr/2018:23:37:02 -0300] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:37:03 -0300] "GET /Ejercicio-JSP-2/ HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:37:03 -0300] "GET /favicon.ico HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:40:21 -0300] "GET /Ejercicio-JSP-2/ HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:41:43 -0300] "GET /Ejercicio-JSP-2/ HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:45:55 -0300] "GET /Ejercicio-JSP-2/ HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:45:55 -0300] "GET /Ejercicio-JSP-2/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:45:55 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:45:56 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:48:56 -0300] "GET /Ejercicio-JSP-2/ HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:48:56 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:48:56 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:48:57 -0300] "POST /Ejercicio-JSP-2/ HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:48:57 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:48:57 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:49:17 -0300] "POST /Ejercicio-JSP-2/ HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:49:17 -0300] "GET /Ejercicio-JSP-2/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:49:17 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:50:24 -0300] "POST /Ejercicio-JSP-2/ HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:50:24 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:51:26 -0300] "POST /Ejercicio-JSP-2/ HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:51:26 -0300] "GET /Ejercicio-JSP-2/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:51:26 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:52:17 -0300] "POST /Ejercicio-JSP-2/ HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:52:17 -0300] "GET /Ejercicio-JSP-2/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:52:17 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:52:45 -0300] "POST /Ejercicio-JSP-2/ HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:52:45 -0300] "GET /Ejercicio-JSP-2/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:52:45 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:53:03 -0300] "POST /Ejercicio-JSP-2/ HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:53:03 -0300] "GET /Ejercicio-JSP-2/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:53:03 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:53:26 -0300] "POST /Ejercicio-JSP-2/ HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:53:26 -0300] "GET /Ejercicio-JSP-2/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:53:26 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:54:03 -0300] "POST /Ejercicio-JSP-2/ HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:54:03 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:54:03 -0300] "GET /Ejercicio-JSP-2/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:55:14 -0300] "POST /Ejercicio-JSP-2/ HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:55:14 -0300] "GET /Ejercicio-JSP-2/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:55:14 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:55:30 -0300] "POST /Ejercicio-JSP-2/ HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:55:30 -0300] "GET /Ejercicio-JSP-2/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [15/Apr/2018:23:55:30 -0300] "GET /Ejercicio-JSP-2/js/validateForm.js HTTP/1.1" 200 393
